ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,ma_qfq_5,ma_qfq_10,ma_qfq_20,ma_qfq_30,ma_qfq_60,ma_qfq_90,ma_qfq_250
000001.SZ,20250116,11.55,11.59,11.47,11.57,11.48,0.09,0.784,872963.99,1007689.274,-0.051,-0.035,-0.032,58.187,40.933,92.696,59.447,52.046,51.535,12.009,11.582,11.156,11.386,11.416,11.5825,11.60333,11.56217,11.30234,10.23844
000001.SZ,20250117,11.53,11.55,11.42,11.45,11.57,-0.12,-1.0372,689764.86,791230.419,-0.049,-0.038,-0.023,61.216,47.694,88.259,48.293,47.035,49.181,12.006,11.576,11.145,11.416,11.423,11.5755,11.60367,11.55717,11.31996,10.25037
000001.SZ,20250120,11.5,11.52,11.4,11.42,11.45,-0.03,-0.262,832029.13,953092.179,-0.05,-0.04,-0.02,61.417,52.268,79.713,45.719,45.832,48.602,12.0,11.566,11.131,11.46,11.421,11.5655,11.59567,11.55233,11.3379,10.26262
000001.SZ,20250121,11.45,11.45,11.32,11.33,11.42,-0.09,-0.7881,902068.94,1024879.174,-0.057,-0.043,-0.027,57.284,53.94,63.972,38.36,42.291,46.874,11.985,11.546,11.106,11.45,11.403,11.5455,11.58433,11.54717,11.35429,10.2744
000001.SZ,20250122,11.32,11.33,11.08,11.09,11.33,-0.24,-2.1183,1347129.22,1504818.607,-0.081,-0.051,-0.06,38.843,48.908,18.714,25.319,34.531,42.654,11.964,11.507,11.05,11.372,11.362,11.507,11.561,11.53967,11.36791,10.28555
000001.SZ,20250123,11.17,11.4,11.17,11.32,11.09,0.23,2.0739,1514920.27,1715172.472,-0.081,-0.057,-0.047,41.582,46.466,31.813,46.31,45.069,47.39,11.899,11.477,11.055,11.322,11.354,11.477,11.54733,11.53967,11.38659,10.29733
000001.SZ,20250124,11.32,11.39,11.22,11.34,11.32,0.02,0.1767,944944.21,1069899.088,-0.078,-0.061,-0.033,44.715,45.882,42.38,47.84,45.895,47.782,11.838,11.451,11.064,11.3,11.358,11.451,11.53033,11.539,11.40494,10.30912
000001.SZ,20250127,11.38,11.55,11.38,11.47,11.34,0.13,1.1464,1151934.71,1324270.607,-0.064,-0.062,-0.005,55.3,49.021,67.857,57.324,51.109,50.289,11.779,11.433,11.087,11.31,11.385,11.433,11.52733,11.53967,11.42746,10.32135
000001.SZ,20250205,11.5,11.52,11.33,11.37,11.47,-0.1,-0.8718,843433.7,961193.579,-0.061,-0.062,0.001,55.821,51.288,64.887,49.085,47.285,48.423,11.657,11.404,11.151,11.318,11.384,11.404,11.52067,11.53817,11.44789,10.3327
000001.SZ,20250206,11.35,11.45,11.3,11.36,11.37,-0.01,-0.088,955603.25,1084793.176,-0.058,-0.061,0.005,57.072,53.216,64.784,48.253,46.902,48.236,11.601,11.387,11.173,11.372,11.372,11.387,11.515,11.53333,11.46864,10.34442
000001.SZ,20250207,11.36,11.45,11.31,11.38,11.36,0.02,0.1761,1407492.62,1601621.98,-0.054,-0.06,0.011,59.325,55.252,67.47,50.276,47.824,48.649,11.597,11.384,11.172,11.384,11.353,11.3845,11.506,11.5305,11.48885,10.35633
000001.SZ,20250210,11.38,11.5,11.36,11.43,11.38,0.05,0.4394,1026590.93,1174044.624,-0.046,-0.057,0.021,64.372,58.292,76.533,55.497,50.182,49.698,11.601,11.387,11.173,11.402,11.351,11.387,11.50067,11.5225,11.50918,10.36855
000001.SZ,20250211,11.4,11.47,11.37,11.42,11.43,-0.01,-0.0875,844520.03,963865.615,-0.04,-0.054,0.026,67.028,61.204,78.677,54.133,49.692,49.487,11.599,11.386,11.173,11.392,11.351,11.386,11.494,11.5175,11.52843,10.38098
000001.SZ,20250212,11.41,11.43,11.34,11.42,11.42,0.0,0.0,988806.83,1125323.633,-0.035,-0.05,0.029,66.615,63.008,73.83,54.133,49.692,49.487,11.588,11.381,11.175,11.402,11.36,11.3815,11.48367,11.5145,11.54615,10.3932
000001.SZ,20250213,11.42,11.55,11.4,11.5,11.42,0.08,0.7005,1358639.27,1560709.511,-0.025,-0.045,0.041,72.693,66.236,85.607,64.254,53.972,51.287,11.588,11.381,11.175,11.43,11.401,11.3815,11.47167,11.51383,11.56117,10.40511
000001.SZ,20250214,11.49,11.55,11.43,11.55,11.5,0.05,0.4348,973057.74,1118355.997,-0.012,-0.038,0.053,81.795,71.423,102.541,69.329,56.495,52.393,11.608,11.389,11.17,11.464,11.424,11.389,11.45933,11.51283,11.57533,10.4166
000001.SZ,20250217,11.6,11.8,11.55,11.78,11.55,0.23,1.9913,2061965.42,2413146.067,0.017,-0.027,0.088,86.53,76.459,106.674,82.806,65.88,57.073,11.686,11.413,11.14,11.534,11.468,11.413,11.45667,11.51683,11.58498,10.42858
000001.SZ,20250218,11.76,11.96,11.76,11.81,11.78,0.03,0.2547,1996610.49,2371071.467,0.041,-0.014,0.109,83.444,78.787,92.759,83.913,66.897,57.64,11.749,11.444,11.138,11.612,11.502,11.4435,11.456,11.523,11.59203,10.44038
000001.SZ,20250219,11.8,11.81,11.68,11.71,11.81,-0.1,-0.8467,1177748.95,1382467.174,0.052,-0.001,0.105,76.142,77.906,72.616,66.735,60.359,55.109,11.785,11.46,11.135,11.67,11.536,11.46,11.448,11.52233,11.58938,10.45251
000001.SZ,20250220,11.71,11.76,11.65,11.66,11.71,-0.05,-0.427,784396.27,917231.443,0.056,0.011,0.09,67.966,74.592,54.713,59.435,57.305,53.875,11.805,11.469,11.133,11.702,11.566,11.469,11.44667,11.522,11.57889,10.46459
