ts_code,trade_date,open,high,low,close,pre_close,change,pct_change,vol,amount,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,ma_qfq_5,ma_qfq_10,ma_qfq_20,ma_qfq_30,ma_qfq_60,ma_qfq_90,ma_qfq_250
000001.SZ,20240102,9.39,9.42,9.21,9.21,9.39,-0.18,-1.9169,1158366.45,1075742.252,-0.162,-0.216,0.107,57.245,49.579,72.576,45.975,41.369,36.541,8.715,8.453,8.191,8.45224,8.39927,8.45316,8.65988,9.15523,9.53173,10.74307
000001.SZ,20240103,9.19,9.22,9.15,9.2,9.21,-0.01,-0.1086,733610.31,673673.614,-0.155,-0.203,0.098,52.449,50.536,56.275,45.167,40.982,36.362,8.685,8.44,8.196,8.47051,8.4084,8.44037,8.627,9.12752,9.51022,10.7305
000001.SZ,20240104,9.19,9.19,9.08,9.11,9.2,-0.09,-0.9783,864193.99,787470.082,-0.153,-0.193,0.08,41.488,47.52,29.424,37.963,37.53,34.764,8.647,8.423,8.198,8.46868,8.41571,8.42256,8.59503,9.09905,9.48728,10.71749
000001.SZ,20240105,9.1,9.44,9.07,9.27,9.11,0.16,1.7563,1991622.16,1852659.692,-0.139,-0.183,0.087,45.774,46.938,43.447,53.713,46.302,39.681,8.621,8.415,8.209,8.4358,8.42484,8.41479,8.56824,9.07104,9.46719,10.70581
000001.SZ,20240108,9.23,9.3,9.11,9.15,9.27,-0.12,-1.2945,1121156.19,1029006.549,-0.135,-0.173,0.076,39.937,44.604,30.601,43.723,41.53,37.471,8.612,8.408,8.204,8.39196,8.42027,8.40794,8.53932,9.04288,9.44709,10.69248
000001.SZ,20240109,9.16,9.19,9.09,9.18,9.15,0.03,0.3279,766193.88,700375.72,-0.128,-0.164,0.072,38.219,42.476,29.704,46.697,43.129,38.366,8.595,8.4,8.205,8.38648,8.41936,8.40018,8.51405,9.01502,9.42629,10.67915
000001.SZ,20240110,9.16,9.19,9.09,9.09,9.18,-0.09,-0.9804,858620.91,783771.15,-0.128,-0.157,0.058,27.105,37.352,6.611,39.233,39.587,36.72,8.561,8.385,8.21,8.36639,8.41845,8.38511,8.48786,8.98564,9.40163,10.66589
000001.SZ,20240111,9.08,9.22,9.03,9.17,9.09,0.08,0.8801,934686.37,853890.237,-0.12,-0.15,0.058,28.44,34.382,16.558,48.084,44.043,39.142,8.561,8.386,8.21,8.37735,8.42301,8.38557,8.47112,8.95855,9.37991,10.65246
000001.SZ,20240112,9.13,9.27,9.11,9.19,9.17,0.02,0.2181,772582.15,711018.266,-0.112,-0.142,0.061,31.968,33.577,28.751,50.258,45.146,39.744,8.562,8.387,8.213,8.36273,8.39927,8.38739,8.4562,8.93708,9.36022,10.63692
000001.SZ,20240115,9.16,9.29,9.13,9.21,9.19,0.02,0.2176,745132.66,685950.951,-0.102,-0.134,0.064,35.946,34.367,39.105,52.637,46.301,40.359,8.562,8.387,8.213,8.37369,8.38283,8.38739,8.4425,8.91592,9.34074,10.6195
